"","id","X","Y"
"89","1",302.698,381.497
"90","1",311.629,380.745
"91","1",320.3,380.3
"92","1",320.3,380.3
"93","1",327.539,380.164
"94","1",334.601,380.234
"95","1",341.5,380.495
"96","1",348.25,380.933
"97","1",354.864,381.533
"98","1",361.355,382.281
"99","1",374.025,384.163
"100","1",386.366,386.461
"101","1",398.488,389.061
"102","1",422.5,394.7
"103","1",422.5,394.7
"104","1",431.288,397.001
"105","1",439.959,399.033
"106","1",448.528,400.806
"107","1",457.006,402.327
"108","1",465.407,403.604
"109","1",473.744,404.647
"110","1",482.029,405.464
"111","1",490.275,406.062
"112","1",498.496,406.451
"113","1",506.703,406.638
"114","1",514.911,406.633
"115","1",523.131,406.442
"116","1",531.378,406.075
"117","1",539.663,405.54
"118","1",556.4,404
"119","1",556.4,404
"120","1",579.198,401.375
"121","1",602.062,398.825
"122","1",613.411,397.754
"123","1",624.645,396.913
"124","1",635.723,396.371
"125","1",646.6,396.2
"126","1",646.6,396.2
"127","1",653.612,396.313
"128","1",660.5,396.629
"129","1",667.253,397.167
"130","1",673.856,397.947
"131","1",680.298,398.988
"132","1",686.566,400.31
"133","1",692.646,401.932
"134","1",698.525,403.875
"135","1",704.191,406.158
"136","1",709.631,408.8
"137","1",714.832,411.821
"138","1",719.781,415.241
"139","1",724.465,419.079
"140","1",728.872,423.355
"141","1",732.988,428.089
"142","1",736.8,433.3
"143","1",736.8,433.3
"144","1",739.442,437.406
"145","1",741.857,441.49
"146","1",744.046,445.553
"147","1",746.012,449.594
"148","1",747.757,453.612
"149","1",749.282,457.605
"150","1",750.589,461.573
"151","1",751.68,465.516
"152","1",752.557,469.431
"153","1",753.222,473.32
"154","1",753.676,477.18
"155","1",753.923,481.011
"156","1",753.963,484.811
"157","1",753.798,488.581
"158","1",753.431,492.319
"159","1",752.862,496.025
"160","1",752.095,499.697
"161","1",751.131,503.335
"162","1",749.972,506.938
"163","1",748.619,510.505
"164","1",747.075,514.035
"165","1",745.342,517.528
"166","1",743.421,520.982
"167","1",741.314,524.397
"168","1",739.023,527.772
"169","1",736.551,531.105
"170","1",733.898,534.397
"171","1",731.067,537.646
"172","1",728.06,540.852
"173","1",724.879,544.014
"174","1",718,550.2
"175","1",718,550.2
"176","1",713.316,554.386
"177","1",708.427,558.509
"178","1",703.347,562.575
"179","1",698.094,566.591
"180","1",687.133,574.489
"181","1",675.675,582.25
"182","1",663.852,589.917
"183","1",651.794,597.534
"184","1",627.5,612.8
"185","1",627.5,612.8
"186","1",616.156,620.199
"187","1",605.28,627.669
"188","1",594.842,635.279
"189","1",584.812,643.1
"190","1",575.163,651.202
"191","1",565.864,659.656
"192","1",556.886,668.532
"193","1",548.2,677.9
"194","1",548.2,677.9
"195","1",542.247,684.715
"196","1",536.573,691.505
"197","1",525.837,704.988
"198","1",515.533,718.302
"199","1",505.2,731.4
"200","1",505.2,731.4
"201","1",497.022,741.18
"202","1",488.911,750.363
"203","1",480.807,758.973
"204","1",472.65,767.037
"205","1",464.381,774.582
"206","1",455.939,781.631
"207","1",447.265,788.212
"208","1",438.3,794.35
"209","1",428.983,800.071
"210","1",419.255,805.4
"211","1",409.055,810.364
"212","1",398.325,814.988
"213","1",387.004,819.297
"214","1",375.033,823.319
"215","1",362.351,827.078
"216","1",348.9,830.6
"217","2",757,723.2
"218","2",755.883,733.898
"219","2",754.267,744.441
"220","2",752.163,754.816
"221","2",749.583,765.011
"222","2",746.541,775.014
"223","2",743.047,784.814
"224","2",739.114,794.397
"225","2",734.755,803.753
"226","2",729.981,812.869
"227","2",724.805,821.732
"228","2",719.239,830.332
"229","2",713.296,838.655
"230","2",706.986,846.689
"231","2",700.324,854.423
"232","2",693.32,861.845
"233","2",685.987,868.942
"234","2",678.338,875.703
"235","2",670.384,882.115
"236","2",662.138,888.166
"237","2",653.612,893.845
"238","2",644.818,899.138
"239","2",635.769,904.034
"240","2",626.476,908.522
"241","2",616.952,912.588
"242","2",607.208,916.221
"243","2",597.258,919.409
"244","2",587.114,922.14
"245","2",576.787,924.401
"246","2",566.29,926.18
"247","2",555.635,927.467
"248","2",544.834,928.247
"249","2",533.9,928.51
"250","2",526.727,928.397
"251","2",519.609,928.06
"252","2",512.55,927.502
"253","2",505.554,926.727
"254","2",498.623,925.738
"255","2",491.762,924.539
"256","2",484.973,923.133
"257","2",478.261,921.522
"258","2",471.628,919.712
"259","2",465.078,917.705
"260","2",458.615,915.504
"261","2",452.241,913.114
"262","2",445.96,910.536
"263","2",439.776,907.775
"264","2",433.693,904.835
"265","2",427.712,901.718
"266","2",421.839,898.427
"267","2",416.076,894.967
"268","2",410.427,891.34
"269","2",404.895,887.551
"270","2",399.484,883.602
"271","2",394.197,879.497
"272","2",389.037,875.239
"273","2",384.008,870.831
"274","2",379.113,866.278
"275","2",374.356,861.582
"276","2",369.741,856.746
"277","2",365.27,851.775
"278","2",360.947,846.672
"279","2",356.775,841.439
"280","2",352.758,836.081
"281","2",348.9,830.6
"282","2",348.9,830.6
"283","2",343.857,822.706
"284","2",339.186,814.929
"285","2",334.884,807.223
"286","2",330.945,799.542
"287","2",327.366,791.84
"288","2",324.141,784.069
"289","2",321.267,776.184
"290","2",318.738,768.137
"291","2",316.549,759.884
"292","2",314.698,751.376
"293","2",313.178,742.569
"294","2",311.986,733.414
"295","2",311.117,723.866
"296","2",310.565,713.879
"297","2",310.328,703.406
"298","2",310.4,692.4
"299","2",310.4,692.4
"300","2",310.862,680.212
"301","2",311.639,668.605
"302","2",312.719,657.548
"303","2",314.087,647.012
"304","2",315.733,636.969
"305","2",317.642,627.389
"306","2",319.802,618.242
"307","2",322.2,609.5
"308","2",322.2,609.5
"309","2",324.313,602.647
"310","2",326.558,596.026
"311","2",328.926,589.622
"312","2",331.411,583.419
"313","2",334.003,577.401
"314","2",336.693,571.552
"315","2",342.337,560.3
"316","2",348.277,549.535
"317","2",354.445,539.131
"318","2",360.775,528.962
"319","2",367.2,518.9
"320","2",367.2,518.9
"321","2",372.381,511.164
"322","2",377.283,503.506
"323","2",381.915,495.91
"324","2",386.289,488.356
"325","2",390.415,480.829
"326","2",394.304,473.309
"327","2",397.966,465.781
"328","2",401.413,458.225
"329","2",404.654,450.625
"330","2",407.701,442.962
"331","2",410.564,435.221
"332","2",413.255,427.381
"333","2",415.783,419.427
"334","2",418.159,411.341
"335","2",420.395,403.104
"336","2",422.5,394.7
"337","2",422.5,394.7
"338","2",427.489,373.175
"339","2",432.488,351.5
"340","2",435.099,340.747
"341","2",437.842,330.125
"342","2",440.762,319.691
"343","2",443.9,309.5
"344","2",443.9,309.5
"345","2",446.056,303.025
"346","2",448.332,296.696
"347","2",450.739,290.531
"348","2",453.291,284.545
"349","2",455.998,278.755
"350","2",458.873,273.175
"351","2",461.928,267.822
"352","2",465.175,262.712
"353","2",468.626,257.862
"354","2",472.293,253.286
"355","2",476.187,249.001
"356","2",480.322,245.023
"357","2",484.708,241.368
"358","2",489.359,238.052
"359","2",494.285,235.091
"360","2",499.5,232.5
"361","2",499.5,232.5
"362","2",504.509,230.718
"363","2",509.431,229.211
"364","2",514.266,227.974
"365","2",519.013,227.002
"366","2",523.671,226.288
"367","2",528.242,225.827
"368","2",532.725,225.613
"369","2",537.119,225.641
"370","2",541.424,225.904
"371","2",545.642,226.398
"372","2",549.77,227.116
"373","2",553.809,228.053
"374","2",557.76,229.203
"375","2",561.621,230.56
"376","2",565.393,232.12
"377","2",569.075,233.875
"378","2",572.668,235.821
"379","2",576.171,237.951
"380","2",579.583,240.261
"381","2",582.906,242.744
"382","2",586.139,245.395
"383","2",589.281,248.208
"384","2",592.333,251.177
"385","2",595.294,254.297
"386","2",598.164,257.562
"387","2",600.943,260.966
"388","2",603.631,264.504
"389","2",606.228,268.17
"390","2",611.147,275.863
"391","2",615.7,284
"392","2",615.7,284
"393","2",618.303,290.12
"394","2",620.756,296.434
"395","2",623.073,302.924
"396","2",625.267,309.575
"397","2",629.335,323.298
"398","2",633.062,337.475
"399","2",636.551,351.98
"400","2",639.902,366.688
"401","2",646.6,396.2
"402","2",646.6,396.2
"403","2",649.683,408.981
"404","2",653.092,421.459
"405","2",656.846,433.652
"406","2",660.962,445.575
"407","2",665.458,457.245
"408","2",670.352,468.678
"409","2",675.66,479.891
"410","2",681.4,490.9
"411","2",681.4,490.9
"412","2",685.967,498.85
"413","2",690.578,506.536
"414","2",699.85,521.337
"415","2",709.047,535.745
"416","2",718,550.2
"417","2",718,550.2
"418","2",723.449,560.113
"419","2",728.506,569.606
"420","2",733.171,578.794
"421","2",737.439,587.792
"422","2",741.31,596.717
"423","2",744.78,605.685
"424","2",747.849,614.812
"425","2",750.513,624.212
"426","2",752.77,634.003
"427","2",754.618,644.301
"428","2",756.056,655.22
"429","2",757.08,666.877
"430","2",757.688,679.387
"431","2",757.879,692.867
"432","2",757.651,707.433
"433","2",757,723.2
"434","3",787.8,298.1
"435","3",797.668,302.322
"436","3",807.241,306.972
"437","3",816.513,312.035
"438","3",825.474,317.496
"439","3",834.117,323.339
"440","3",842.435,329.55
"441","3",850.419,336.114
"442","3",858.061,343.016
"443","3",865.354,350.24
"444","3",872.29,357.771
"445","3",878.86,365.595
"446","3",885.058,373.696
"447","3",890.875,382.06
"448","3",896.303,390.671
"449","3",901.335,399.515
"450","3",905.962,408.575
"451","3",910.178,417.838
"452","3",913.973,427.287
"453","3",917.34,436.909
"454","3",920.272,446.688
"455","3",922.76,456.609
"456","3",924.796,466.656
"457","3",926.373,476.816
"458","3",927.483,487.072
"459","3",928.118,497.41
"460","3",928.27,507.815
"461","3",927.931,518.271
"462","3",927.093,528.764
"463","3",925.749,539.278
"464","3",923.891,549.799
"465","3",921.51,560.311
"466","3",918.6,570.8
"467","3",916.254,578.093
"468","3",913.683,585.25
"469","3",910.89,592.27
"470","3",907.883,599.148
"471","3",904.665,605.883
